"Part","Value","Device","Package","Description","MPN","POPULATE",
"C1","10uF","C-USC0805","C0805","CAPACITOR, American symbol","EMK212ABJ106KG-T","",
"C2",".1uF","C-USC0805","C0805","CAPACITOR, American symbol","08051C104J4T4A","",
"C3","10uF","C-USC0805","C0805","CAPACITOR, American symbol","EMK212ABJ106KG-T","0",
"C4",".1uF","C-USC0805","C0805","CAPACITOR, American symbol","08051C104J4T4A","0",
"J1","SMD","I2C_STANDARDJS-1MM","1X04_1MM_RA","SparkFun I2C Standard Pinout Header","PRT-14417","0",
"JP1","","PINHD-1X8CLEANBIG","1X08-CLEANBIG","PIN HEADER","8Fx1L-254mm","",
"JP2","","PINHD-1X8CLEANBIG","1X08-CLEANBIG","PIN HEADER","8Fx1L-254mm","",
"LED1","WS2812B5050","WS2812B5050","WS2812B","","1655","0",
"R1","10K","R-US_R0805","R0805","RESISTOR, American symbol","CRCW080510K0FKEAC","",
"R2","10K","R-US_R0805","R0805","RESISTOR, American symbol","CRCW080510K0FKEAC","",
"R3","10K","R-US_R0805","R0805","RESISTOR, American symbol","CRCW080510K0FKEAC","",
"R4","10K","R-US_R0805","R0805","RESISTOR, American symbol","CRCW080510K0FKEAC","",
"U1","MMA8452Q","MMA8452Q","QFN-16_0.5MM","MMA8452Q 3-Axis, 12/8-bit Digital Accelerometer","MMA8452QR1","0",
"X1","","ESP-12","ESP-12","","ESP12","",
