"Part","Value","Device","Package","Description","MPN","PROD_ID","SF_ID","VALUE",
"C1","10µF","C-USC0805","C0805","CAPACITOR, American symbol","EMK212ABJ106KG-T","","","",
"C2","10uF","C-USC0805","C0805","CAPACITOR, American symbol","EMK212ABJ106KG-T","","","",
"C3","10µF","C-USC0805","C0805","CAPACITOR, American symbol","EMK212ABJ106KG-T","","","",
"C4","1.0uF","1.0UF-0805-25V-10%","0805","1µF ceramic capacitors","C0805C105K4RAC7210","CAP-08064","","1.0uF",
"C5","0.1uF","1.0UF-0805-25V-10%","0805","1µF ceramic capacitors","08051C104J4T4A","CAP-08064","","1.0uF",
"CHG","RED","LED0805_NOOUTLINE","CHIPLED_0805_NOOUTLINE","LED","SMLD12E3N1WT86","","","",
"D1","MBR120","DIODE-SCHOTTKYSOD-123","SOD-123","","MBR120ESFT1G","","","",
"J1","JSTPH","CONN_02","1X02","Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections","","","","",
"J2","","614105150621","614105150621","WR-COM_USB_Micro Type AB_Vertical_THT,","614105150621","","","",
"JP1","","PINHD-1X8CLEANBIG","1X08-CLEANBIG","PIN HEADER","8Fx1L-254mm","","","",
"JP2","","PINHD-1X8CLEANBIG","1X08-CLEANBIG","PIN HEADER","8Fx1L-254mm","","","",
"ON","RED","LED0805_NOOUTLINE","CHIPLED_0805_NOOUTLINE","LED","SMLEN3WBC8W1","","","",
"Q1","ZXMP6A13FTA","MOSFET-P","SOT23-R","P-Channel Mosfet","ZXMP6A13FTA","","","",
"Q2","mmbt2222","TRANSISTOR_NPNSOT23-3","SOT23-3","Transistor NPN","MMBT2222A-G","","","",
"Q3","mmbt2222","TRANSISTOR_NPNSOT23-3","SOT23-3","Transistor NPN","MMBT2222A-G","","","",
"R1","100K","R-US_R0805","R0805","RESISTOR, American symbol","CR0805AFX-1003EAS","","","",
"R2","1K","R-US_R0805","R0805","RESISTOR, American symbol","ESR10EZPJ102","","","",
"R3","10K\","R-US_R0805","R0805","RESISTOR, American symbol","CRCW080510K0FKEAC","","","",
"R4","1K","R-US_R0805","R0805","RESISTOR, American symbol","ESR10EZPJ102","","","",
"R5","10K","R-US_R0603","R0603","RESISTOR, American symbol","CRCW080510K0FKEAC","","","",
"R6","10K","R-US_R0603","R0603","RESISTOR, American symbol","CRCW080510K0FKEAC","","","",
"S1","","SWITCH-SPDT-SMD-AYZ0202","SWITCH_DPDT_SMD_AYZ0202","Single Pole, Double Throw (SPDT) Switch","AYZ0202AGRLC","SWCH-08179","COM-00597","",
"U1","MIC5225-3.3v","VREG_SOT23-5","SOT23-5","SOT23-5 Fixed Voltage Regulators","MIC5225-3.3YM5-TR","","","",
"U2","CH340C","CH340C","SO016","","CH340C","IC-14038","","",
"U3","MCP73831T-2ACI/OT","MCP73831/OT","SOT23-5L","MCP73831/2","MCP73831T-2ACI/OT","","","",
